Original sort order,Names,Acres,Month & Day,Year
2298,"West, Charles",Bank lot,March 30,1747
2299,"Waibel, Valentine",50,April 29,1747
2300,"Wharley, Daniel",100,May 15,1747
2301,"Wharley, Daniel",100,June 9,1747
2302,"Warner, Joseph",City lot,July 14,1747
2303,"Wilkins, John",25,Aug. 11,1747
2304,"Wood, James",25,Sept. 23,1747
2305,"White, Andrew",25,May 2,1748
2306,"Woolrich, Fred'k",100,July 27,1748
2307,"White, John",300,Sept. 22,1748
2308,"Warder, John",City lot,Nov. 2,1748
2309,"Welsh, Sarah",City lot,Feb. 10,1748-9
2310,"Waganaar, Christopher",275,Feb. 22,1749
2311,"Wink, Casper",50,March 13,1749
2312,"Weidner, Adam Geo.",50,March 28,1749
2313,"Weidner, Adam Geo.",50,March 28,1749
2314,"Weidner, Lazarus",100,April 19,1749
2315,"Weitzell, Martin",50,May 3,1749
2316,"Wyant, George",50,June 2,1749
2317,"Whetstone, Henry",50,June 5,1749
2318,"Wagener, Adam",100,Sept. 19,1749
2319,"Wright, Thomas",100,Nov. 9,1749
2320,"Weiser, David",50,Jan. 30,1750
2321,"Walter, Jacob",50,Feb. 25,1750
2322,"Webb, John",200,March 4,1750
2323,"Webb, John",100,March 4,1750
2324,"Webb, John",200,March 4,1750
2325,"Webb, John",200,March 4,1750
2326,"Webb, John",100,March 4,1750
2327,"Webb, George",400,March 4,1750
2328,"John, Jr.",200,March 4,1750
2329,"Werrall, John",50,March 9,1750
2330,"Watts, George",25,March 14,1750
2331,"Weary, Jacob",25,March 15,1750
2332,"White, Charles",50,June 2,1750
2333,"Wistar, Richard",150,June 14,1750
2334,"Wistar, Richard",150,June 14,1750
2335,"Willing, Charles",500,July 23,1750
2336,"Wenner, Nicholas",25,Nov. 23,1750
2337,"Will, William",25,Dec. 29,1750
2338,"Womblesdorf, Daniel",100,May 16,1751
2339,"Welcher, Teetrick",50,May 17,1751
2340,"Welcher, Teetrick",50,May 17,1751
2341,"Welcher, Teetrick",50,May 17,1751
2342,"Welcher, Teetrick",50,May 17,1751
2343,"Willitts, Thomas",50,May 24,1751
2344,"Winger, Jacob",25,June 7,1751
2345,"Waganaar, Ulrich",50,June 11,1751
2346,"Wilt, John",60,June 21,1751
2347,"Weiser, Conrad",Lots,Aug. 12,1751
2348,"West, Jacob",50,Sept. 6,1751
2349,"Wolf, Andrews",Lot,Nov. 6,1751
2350,"Witman, Adam Isa.",Lot,Dec. 4,1751
2351,"Weidner, Peter",Lot,Feb. 3,1752
2352,"Weidner, Isaac",Lot,Feb. 3,1752
2353,"Weber, John",Lot,Feb. 3,1752
2354,"Waldtz, Reinhardt",Lot,Feb. 3,1752
2355,"Waggoner, Eleanor",Lot,Feb. 3,1752
2356,"Winter, Francis Geo.",Lot,Feb. 3,1752
2357,"Weiser, Conrad",Lot,Feb. 3,1752
2358,"Will, Gerhard",25,Feb. 5,1752
2359,"Weiser, Conrad",Lot,Feb. 5,1752
2360,"Wister, Casper",50.5,Feb. 13,1752
2361,"Wood, James",Lot,Jan. 22,1753
2362,"Wood, Richard",Lot,Jan. 22,1753
2363,"Worley, Francis, & Co.",715,Dec. 10,1753
2364,"West, William",Lot,July 4,1754
2365,"Weiss, Christopher",33,Oct. 29,1754
2366,"West, William",150,April 7,1755
2367,"Wehend, Wendle",25,March 23,1758
2368,"Webb, Ruth",City lot,Jan. 1,1759
2369,"Willing, Thomas",City lot,Feb. 23,1760
2370,"Weise, Frederick",150,April 5,1760
2371,"Wilkinson, Sarah",City lot,Dec. 4,1760
2372,"Webb, James",500,Dec. 4,1760
2373,"Webb, James",200,April 10,1761
2374,"White, Robert",147140,April 18,1761
2375,"Weise, Frederick",135.87,Aug. 17,1761
2376,"Woodcock, Anthony",Lot,July 26,1763
2377,"Wright, John",Lot,Aug. 29,1764
2378,"Wragg, Priscilla",900,Sept. 8,1764
2379,"Woodcock, Anthony",Lot,July 28,1766
2380,"Wentz, Phillip",55,Nov. 24,1767
2381,"Welgar, Deetrick",null,June 11,1768
2382,"Willing, Thomas, & Als.",Lot,Jan. 17,1770
2383,"Wigginer, Christopher",35,March 3,1770
2384,"West, William",null,Oct. 23,1770
2385,"Wormen, Henry, & others",null,June 19,1772
2386,"Willing, Tho's, & others",null,July 29,1772
2387,"Walton, Wm., & David",null,March 3,1774
2388,"Whetstone, Isaac,",Lot,April 18,1774
2389,"Whetstone, Isaac",Lot,April 18,1774
2390,"Whetstone, Isaac,",Lot,April 18,1774
2391,"Wild, Abraham,",Lot,May 2,1774
2392,"Worn, Philip,",Lot,May 6,1774
2393,"Warder, Jeremiah, Jr.",null,June 21,1774
2394,"Watts, Stephen, & wife",Lot,June 22,1774
2395,"Watts, Stephen, & wife",Lot,June 22,1774
2396,"Whiteman, George",134.5,April 17,1782
2397,"Wallace, Maddox, Jos. & al.",null,Dec. 20,1785
2398,"Wells, Richard, Esq.",Lot,Jan. 8,1789
2399,"West, William",Lot,May 5,1789
2400,"Wallace, Thomas K.",45,July 8,1821
2401,"Warren, David",1.91,Nov. 2,1850
2402,"Yoder, Hans",41,Jan. 24,1733
2403,"Yonckman, Tidder Hans",100,Feb. 5,1733
2404,"Yoder, John",100,Feb. 5,1733
2405,"Yeagen, Philip",100,Feb. 27,1733
2406,"Young, John",200,Aug. 17,1733
2407,"Young, George",100,June 6,1734
2408,"Yecon, Jonas",200,Oct. 31,1734
2409,"Yooger, John",100,Oct. 26,1736
2410,"Yeager, John",150,Nov. 16,1736
2411,"Yoden, Daniel",150,Feb. 16,1737
2412,"Yoder, John",100,April 27,1737
2413,"Yoder, Yost",100,May 18,1737
2414,"Yagy, Johannes",100,Sept. 22,1737
2415,"Yost, Jacob",100,Oct. 29,1737
2416,"Youngman, Diet'ck J'no",100,June 23,1738
2417,"Yoder, John",50,Aug. 2,1738
2418,"Yoder, John",50,Jan. 29,1739
2419,"Yoder, John",100,May 2,1739
2420,"Youngman, Diet'ik J'no",63,April 9,1741
2421,"Yoden, Johannes",200,March 23,1742
2422,"Young, Daniel",50,March 17,1749
2423,"Yeakle, Christopher",200,Feb. 5,1750
2424,"Yarnall, Francis",50,March 4,1750
2425,"Yekell, Abram",50,May 18,1750
2426,"Yorke, Thomas",100,June 24,1751
2427,"Young, Nicholas",Lot,March 6,1773
2428,"Yoner, Jacob",121,Nov. 12,1760
2429,"Yoner, Jacob",400,March 12,1761
2430,"Yoner, Jacob",1000,April 15,1701
2431,"Zigler, Michael",400,March 10,1732-3
2432,"Zin, Gerard",100,Feb. 22,1734
2433,"Zenzeman, John",150,Dec. 3,1734
2434,"Zanger, Jacob",25,Nov. 27,1747
2435,"Zimmerman, Sebastian",50,March 5,1750
2436,"Zimmerman, Kilian",25,Oct. 10,1750
2437,"Zeigler, Philip",25,Oct. 26,1751
2438,"Zimmerman, Conrad, & others",null,Jan. 23,1775
