Publication Year,Author,Author Reconciled,Title,Series,Publisher,Place,Library Collection,Call Number,Notes,Editors,Translator,Contributor,Edition
1922,"Gargaz, Pierre AndrÃ¨.","Gargaz, Pierre AndrÃ¨.","A Project Of Universal And Perpetual Peace / Written By Pierre- AndrÃ© Gargaz, A Former Galley-slave, And Printed By Benjamin Franklin At Passy In The Year 1782. Here Reprinted, Together With An English Version, Introduction, & Typographical Note By George Simpson Eddy.",,G.S. Eddy,New York,Swarthmore Peace Collection,JX1946.G3.,,,,,
1916,"Walling, William English, 1877-1936.","Walling, William English, 1877-1936",The Prospects For Economic Internationalism.,,The American Academy of Political and Social Science,Philadelphia,Swarthmore Peace Collection,D613.W2.,,,,,
1929,"Gregg, Richard Bartlett, b. 1885.","Gregg, Richard Bartlett, 1885-",The Psychology And Strategy Of Gandhi's Non-violent Resistance.,,Ganesan,Madras,Swarthmore Peace Collection,JX1967.G8 G181.,,,,,
1923,"Lowell, A. Lawrence, 1856-1943.","Lowell, Abbott Lawrence, 1856-1943",Public Opinion And World Peace.,,Harvard University Press,Cambridge,Swarthmore Peace Collection,HM261.L8.,,,,,
1923,"Lowell, A. Lawrence, 1856-1943.","Lowell, Abbott Lawrence, 1856-1943",Public Opinion In War And Peace.,,Harvard University Press,Cambridge,Swarthmore Peace Collection,HM261.L8.,,,,,
1925,"Rouse, Ruth.","Rouse, Ruth.",Rebuilding Europe: The Student Chapter In Post-war Reconstruction / By Ruth Rouse... With A Foreword By Dr. John R. Mott.,,Student Christian Movement,London,Swarthmore Peace Collection,JX1965.7.R6.,,,,,
1919,,,A Reconstruction Labor Policy.,,American Academy of Political and Social Science,Philadelphia,Swarthmore Peace Collection,HD8072.A7.,,,,,
1915,Inter-parliamentary Union. Swedish Group.,Inter-parliamentary Union. Swedish Group.,"Recueil De Documents, 1914 / RÃ©digÃ© Au Nom Du Bureau Du Groupe, Par P.G. Widegren.",,Centraltryckeriet,Stockholm,Swarthmore Peace Collection,JX1930.I75 S7 1914.,,,,,
1918,,,A Red Triangle Girl In France.,,George H. Doran Co.,New York,Swarthmore Peace Collection,D639.Y7 R4.,,"Kohler, Max J.",,,
,,,"The Registration Of Aliens A Dangerous Project: Including The Proceedings Of A Luncheon Conference In Opposition To The Registration Of Aliens And Deportation Bills, Held At The Hotel Astor, New York City, January 9th, 1926 / Edited By Max J. Kohler.",,,"[New York?], 1926.",Swarthmore Peace Collection,JX4265.K6.,,,,,
1927,"Eddy, Sherwood, 1871-1963.","Eddy, Sherwood, 1871-1963",Religion And Social Justice.,,George H. Doran Co.,New York,Swarthmore Peace Collection,JX1953.E2.,,,,,
1924,"Moulton, Harold Glenn, 1883-1965.","Moulton, Harold Glenn, 1883-1965.","The Reparation Plan: An Interpretation Of The Reports Of The Expert Committees Appointed By The Reparation Commission, November 30, 1923 / By Harold G. Moulton, With The Aid Of The Council And Staff Of The Institute Of Economics.",,McGraw-Hill book Co.,New York,Swarthmore Peace Collection,D649.G3 M6.,,,,,
1914-1916,Lake Mohonk Conference on International Arbitration.,Lake Mohonk Conference on International Arbitration.,"Report Of The Annual Lake Mohonk Conference On International Arbitration, [for The Years] 1914-1916.",,Lake Mohonk Arbitration Conference,"[Mohonk Lake, N.Y.]",Swarthmore Peace Collection,JX1932.L3.,,,,,
[1925],"Conference on the Cause and Cure of War (1st: 1925: Washington, D.C.).","Conference on the Cause and Cure of War (1st: 1925: Washington, D.C.).","Report Of The Conference On The Cause And Cure Of War Held In Washington, D.C., January 18-24, 1925.",,[n.p.],,Swarthmore Peace Collection,JX1933 1925.,,,,,
[1919?],Women's International League for Peace and Freedom. Congress (2nd: 1919: ZÃ¼rich).,Women's International League for Peace and Freedom. Congress (2nd: 1919: ZÃ¼rich).,"Report Of The International Congress Of Women, Zurich, May 12 To 17, 1919.",,Women's International League for Peace and Freedom,"Geneva, Switzerland",Swarthmore Peace Collection,JX1930.W8 1919.,,,,,
[1921],Women's International League for Peace and Freedom. Congress (3rd: (1921: Vienna).,Women's International League for Peace and Freedom. Congress (3rd: (1921: Vienna).,"Report Of The Third International Congress Of Women, Vienna, July 10-17, 1921.",,Women's International League for Peace and Freedom,"Geneva, Switzerland",Swarthmore Peace Collection,JX1930.W8 1921.,,,,,
[1924],"Women's International League for Peace and Freedom. Congress (4th: 1924: Washington, D.C.).","Women's International League for Peace and Freedom. Congress (4th: 1924: Washington, D.C.).","Report Of The Fourth Congress Of The Women's International League For Peace And Freedom, Washington, May 1 To 7, 1924.",,"Women's International League, U.S. section","Washington, U.S.A.",Swarthmore Peace Collection,JX1930.W8 1924.,,,,,
[1926?],Women's International League for Peace and Freedom. Congress (5th: 1926: Dublin).,Women's International League for Peace and Freedom. Congress (5th: 1926: Dublin).,"Report Of The Fifth Congress Of The Women's International League For Peace And Freedom: Dublin, July 8 To 15, 1926.",,"Women's International League, U.S. section","Washington, U.S.A.",Swarthmore Peace Collection,JX1930.W8 1926.,,,,,
[1929],Women's International League for Peace and Freedom. Congress (6th: 1929: Prague).,Women's International League for Peace and Freedom. Congress (6th: 1929: Prague).,"Report Of The Sixth Congress... Prague, August 24th To 28th, 1929.",,Women's International League for Peace and Freedom,"Geneva, Switzerland",Swarthmore Peace Collection,JX1930.W8 1929.,,,,,
[1932?],Women's International League for Peace and Freedom. Congress (7th: 1932: Grenoble).,Women's International League for Peace and Freedom. Congress (7th: 1932: Grenoble).,"Report Of The Seventh Congress Of The Women's International League For Peace And Freedom, Grenoble, May 15th To 19th, 1932.",,Women's International League for Peace and Freedom,"Geneva, Switzerland",Swarthmore Peace Collection,JX1930.W8 1932.,,,,,
1909,International Council of Women (1904: Berlin).,International Council of Women (1904: Berlin).,"Report Of Transactions During The Third Quinquennial Term Terminating With The Third Quinquennial Meeting Held In Berlin, June, 1904 / [edited By May Wright Sewall] ; With An Introduction By May Wright Sewall, Retiring President.",,[International Council of Women],Boston,Swarthmore Peace Collection,HQ1106 1904. Vol. 1 HQ1106 1904. Vol. 2.,,,,,
1916,"Fried, Alfred H., 1864-1921.","Fried, Alfred Hermann, 1864-1921.",The Restoration Of Europe / By Dr. Alfred H. Fried; Translated From The German By Lewis Stiles Gannett.,,The Macmillan Co.,New York,Swarthmore Peace Collection,D610.F82.,,,,,
1922,"Keynes, John Maynard, 1883-1946.","Keynes, John Maynard, 1883-1946.",A Revision Of The Treaty: Being A Sequel To The Economic Consequences Of The Peace.,,"Harcourt, Brace and Co.",New York,Swarthmore Peace Collection,D648.K45.,,,,,
,,,Round Table.,,,London.,Swarthmore Peace Collection,D501.R6. Vol. 22.,,,,,
[1914],"Vinogradoff, Paul, 1854-1925.","Vinogradoff, Paul, 1854-1925.",Russia: The Psychology Of A Nation.,,"Oxford University Press, H. Milford","London, New York",Swarthmore Peace Collection,D516.M8.,,,,,
1923,"Branford, Victor.","Branford, Victor",Science And Sanctity: A Study In The Scientific Approach To Unity.,,Leplay House Press and Williams & Norgate,London,Swarthmore Peace Collection,HM101.B7.,,,,,
[1914],"Chirol, Valentine, 1852-1929.","Chirol, Valentine, 1852-1929",Serbia And The Serbs.,,"Oxford University Press, H. Milford","London, New York",Swarthmore Peace Collection,D516.M8.,,,,,
[1921],"Fosdick, Harry Emerson, 1878-1969.","Fosdick, Harry Emerson, 1878-1969","Shall We End War?: A Sermon Preached At The First Presbyterian Church, N.Y., June 5, 1921.",,Clearing House for Limitation of Armament,New York,Swarthmore Peace Collection,JX1965.5.F7.,,,,,
1920,"Tawney, R.H., 1880-1962.","Tawney, R.H. (Richard Henry), 1880-1962",The Sickness Of An Acquisitive Society.,,"The Fabian Society, G. Allen & Unwin",London,Swarthmore Peace Collection,HB199.T3 S5.,,,,,
1915,Wisconsin Woman's Suffrage Association. Education Committee.,Wisconsin Woman's Suffrage Association. Education Committee.,Social Forces: A Topical Outline With Bibliography.,,Wisconsin Woman's Suffrage Association,"Madison, Wis.",Swarthmore Peace Collection,H91.W6.,,,,,
1916,"Nasmyth, George William, 1882-1920.","Nasmyth, George William, 1882-1920","Social Progress And The Darwinian Theory: A Study Of Force As A Factor In Human Relations / By George Nasmyth, With An Introduction By Norman Angell.",,G.P. Putnam's Sons,New York and London,Swarthmore Peace Collection,JX1966.N3.,,,,,
,"Evans, Luther Harris, 1902-.","Evans, Luther Harris, 1902-1981",Some Legal And Historical Antecedents Of The Mandatory System.,,,,Swarthmore Peace Collection,JX4021.E9.,Inscription: To Miss Addams: with the compliments of the author Luther H. Evans.,,,,
[ca 1919?] (Originally published in German in 1919),"Foerster, Friedrich Wilhelm, 1869-1966.","Foerster, Friedrich Wilhelm, 1869-1966.",Some Reflections With Respect To The Peace Conference At Paris.,,s.n.,[S.l.,Swarthmore Peace Collection,D643.A7 F6.,,,,,
,"Mayreder, Rosa Obermayer, 1858-1938.","Mayreder, Rosa, 1858-1938",Sonderlinge.,,Hermann Hillger [1921].,Berlin ; Leipzig,Swarthmore Peace Collection,PT2625.B1 S6.,,,,,
1928,"White, Charles P.","White, Charles Pressley",Stabilization Of Commodity Prices / Editor In Charge Of This Volume Charles P. White; [with Supplement] Public Construction And Cyclical Unemployment / By F.G.Dickinson.,,The American Academy of Political and Social Science,Phildelphia,Swarthmore Peace Collection,HB236.U5 A6.,,,,,
1916,"Willits, Joseph H., b. 1889.","Willits, Joseph H. (Joseph Henry), 1889-","Steadying Employment, With A Section Devoted To Some Facts On Unemployment In Philadelphia / By Joseph H. Willits.",,The American Academy of Political and Social Science,Philadelphia,Swarthmore Peace Collection,HD5724.W5.,,,,,
1930,"Smith, Helen Zenna, 1896-1985.","Smith, Helen Zenna, 1896-1985",Stepdaughters Of War / By Helen Zenna Smith [i.E. Evadne Price].,,E.P. Dutton & Co.,New York,Swarthmore Peace Collection,D639.W7.,,,,,
1927,"Whipple, Leon, 1882-.","Whipple, Leon, 1882-",The Story Of Civil Liberty In The United States.,,"Vanguard Press, American Civil Liberties Union",New York,Swarthmore Peace Collection,JC599.U5 W5.,,,,,
,"Dodd, William Edward, 1869-1940.","Dodd, William Edward, 1869-1940",The Struggle For Democracy In The U.S.,,,,Swarthmore Peace Collection,D639.D45 D6.,Inscription: William E. Dodd.,,,,
1915,"MacKaye, Percy, 1875-1956.","Mackaye, Percy 1875-1956",A Substitute For War / By Percy Mackaye; With An Introduction By Irving Fisher... And With Prefatory Letters By The Right Hon. Viscount Bryce ... And Norman Angell.,,The Macmillan Co.,New York,Swarthmore Peace Collection,JX1963.M1.,,,,,
1926,Great Britain. Committee on Industry and Trade.,Great Britain. Committee on Industry and Trade.,"Survey Of Industrial Relations: Based On Material Mainly Derived From Official Sources, With Regard To Industrial Remuneration, Conditions, And Relationships In Great Britain And Certain Other Countries So Far As Available; Together With Statistical Tables / With An Introduction By The Committee.",,Printed and pub. by H.M. Stationary Office,London,Swarthmore Peace Collection,HD8381.C3.,,,,,
1912,"Mead, Lucia True Ames, 1856-1936.","Mead, Lucia True Ames, 1856-1936","Swords And Ploughshares: Or, The Supplanting Of The System Of War By The System Of Law / By Lucia Ames Mead...  With A Foreword By Baroness Von Suttner.",,G.P. Putnam's Sons,New York and London,Swarthmore Peace Collection,JX1953.M55.,,,,,
1926,"Moon, Parker Thomas, 1892-1936.","Moon, Parker Thomas, 1892-1936",Syllabus On International Relations / By Parker Thomas Moon... Issued By The Institute Of International Education.,,The Macmillan Co.,New York,Swarthmore Peace Collection,JX1311.M7.,,,,,
1930,"Bradford, Columbus.","Bradford, Columbus","Terrania: Or, The Feminization Of The World.",,The Christopher Publishing House,Boston,Swarthmore Peace Collection,JX1964.1.B72.,,,,,
1912,"Kennedy, Charles Rann, 1871-.","Kennedy, Charles Rann, 1871-1950",The Terrible Meek: A One-act Stage Play For Three Voices: To Be Played In Darkness.,,Harper,New York and London,Swarthmore Peace Collection,JX1964.3.K3.,,,,,
[1920?],"Lansbury, George, 1859-1940.","Lansbury, George, 1859-1940",These Things Shall Be.,,The Swarthmore Press,[London],Swarthmore Peace Collection,HN389.L25.,,,,,
[1923],,,The Third Winter Of Unemployment: The Report Of An Enquiry Undertaken In The Autumn Of 1922.,,P.S. King & Son,London,Swarthmore Peace Collection,HD5767.T5.,,,,,
1919,"White, William A., 1870-1937.","White, William A. (William Alanson), 1870-1937",Thoughts Of A Psychiatrist On The War And After.,,Paul B. Hoeber,New York,Swarthmore Peace Collection,JX1966.W5.,,,,,
1890,"Tolstoy, Leo, graf, 1828-1910.","Tolstoj, Lev Nikolaevič,  1828-1910",Toil / [by Leo Tolstoi And Timothy Bondareff].,,Sergel,Chicago,Swarthmore Peace Collection,HD8526.T7.,,,,,
1928,"Stevens, Henry Bailey, 1891-1976.","Stevens, Henry Bailey, 1891-1976",Tolstoy: A Play In Seven Scenes.,,Thomas Y. Crowell Co.,New York,Swarthmore Peace Collection,JX1964.3.S8.,,,,,
1921,"Simkhovitch, Vladimir Grigorievitch, b. 1874.","Simkhovitch, Vladimir Grigorievitch, b. 1874.","Toward The Understanding Of Jesus, And Other Historical Studies.",,The Macmillan Co.,New York,Swarthmore Peace Collection,D7.S5.,,,,,
[1915],,,Towards A Lasting Settlement... / Edited By Charles Roden Buxton.,,G. Allen & Unwin,London,Swarthmore Peace Collection,D610.B8.,Inscription: Jane Addams from Mr. W. [?],"Buxton, Charles Roden",,,
[1916],"Bourne, Randolph Silliman, 1886-1918.","Bourne, Randolph Silliman, 1886-1918","Towards An Enduring Peace: A Symposium Of Peace Proposals And Programs, 1914-1916 / Compiled By Randolph S. Bourne, With An Introduction By Franklin H. Giddings.",,American Association for International Conciliation,New York,Swarthmore Peace Collection,JX1952.B7.,,,,,
[1915],"Hobson, J. A., 1858-1940.","Hobson, J.A. (John Atkinson), 1858-1940",Towards International Government.,,G. Allen & Unwin ; New York: The Macmillan Co.,London,Swarthmore Peace Collection,JX1975.H7.,,,,,
1928,"Dalton, Hugh Dalton, 1887-1962.","Dalton, Hugh Dalton, Baron, 1887-1962.",Towards The Peace Of Nations: A Study In International Politics.,,G. Routledge & Sons,London,Swarthmore Peace Collection,JX1952.D25.,Inscription: Jane Addams Hull-House from C. Urie Euripides.,,,,
1914,,,The Trojan Women Of Euripides / Translated Into English Rhyming Verse With Explanatory Notes By Gilbert Murray.,,G. Allen & Co.,London,Swarthmore Peace Collection,JX1964.3.E89.,,,,,
[1923],"Hulst, Cornelia Steketee.","Hulst, Cornelia Steketee, 1865-1957","A Truly National Money System: Address Delivered At The Monetary Conference At Washington, D.C., November, 1921, And At The Public Ownership Conference At Toronto, September 10, 1923.",,Public Ownership League of America,Chicago,Swarthmore Peace Collection,HG538.H9.,,,,,
[1913],"MacDonald, John.","MacDonald, John.",Turkey And The Eastern Question.,,Jack,London,Swarthmore Peace Collection,DR37.M13.,,,,,
1913,"Choate, Joseph Hodges, 1832-1917.","Choate, Joseph Hodges, 1832-1917",The Two Hague Conferences.,,Princeton University Press,Princeton,Swarthmore Peace Collection,JX1918.C5.,,,,,
1908,"Hull, William Isaac, 1868-1939.","Hull, William I. (William Isaac), 1868-1939",The Two Hague Conferences And Their Contributions To International Law.,,"For the International School of Peace, Ginn & Co.",Boston,Swarthmore Peace Collection,JX1916.H86.,,,,,
[1917],"Mayreder, Rosa Obermayer, 1858-1938.","Mayreder, Rosa, 1858-1938","Der Typische Verlauf Socialer Bewegungen: Vortrag, Gehalten Am 9. Mai 1917 In Der Soziologischen Gesellschaft Zu Wien.",,Anzengruber,Wien,Swarthmore Peace Collection,HN17.M4.,,,,,
1908,"Mayreder, Rosa Obermayer, 1858-1938.","Mayreder, Rosa, 1858-1938",ÃœbergÃ¤nge: Novellen. (2. Aufl.),,Heller,Wien,Swarthmore Peace Collection,PT2625.B1 U2.,,,,,
[1927],Great Britain. Parliament. House of Commons.,Great Britain. Parliament. House of Commons.,"Unemployment Insurance Act, 1927: [17 And 18 Geo. 5. Ch. 30].",,H.M. Stat. Office,London,Swarthmore Peace Collection,HD7096.G7.,,,,,
[1919],"Nasmyth, George William, 1882-1920.","Nasmyth, George William, 1882-1920",Universal Military Training And Democracy.,,American Union Against Militarism,"Washington, D.C.",Swarthmore Peace Collection,JX1968.N3.,,,,,
1911,"Stilwell, Arthur Edward, 1861-1928.","Stilwell, Arthur Edward",Universal Peace--war Is Mesmerism.,,The Bankers Publishing Co.,New York,Swarthmore Peace Collection,JX1953.S8.,,,,,
1898,,,University And Social Settlements / Edited By W. Reason.,,Methuen and Co.,London,Swarthmore Peace Collection,HV4183.R3.,,"Reason, W.",,,
1914,"Brownell, Atherton.","Brownell, Atherton, 1866-1924",The Unseen Empire: A Peace Play In Four Acts.,,Harper & Brothers,New York and London,Swarthmore Peace Collection,JX1964.3.B8.,,,,,
1912,"Jordan, David Starr, 1851-1931.","Jordan, David Starr, 1851-1931",Unseen Empire: A Study Of The Plight Of Nations That Do Not Pay Their Debts.,,American Unitarian Association,Boston,Swarthmore Peace Collection,JX1953.J8.,,,,,
1916,"Reventlow, E., 1869-1943.","Reventlow, Ernst zu 1869-1943","The Vampire Of The Continent / By Count Ernst Zu Reventlow, Translated From The German, With A Preface By George Chatterton-hill.",,The Jackson Press,New York,Swarthmore Peace Collection,D517.R4.,,,,,
1925,"Gibson, Harry P.","Gibson, Harry P.",War Abolition: The Convictions Of A Business Man.,,Robson & Adee,"Schenectady, N.Y.",Swarthmore Peace Collection,JX1953.G55.,,,,,
1915,"Unwin, Raymond, 1863-1940.","Unwin, Raymond, Sir, 1863-1940","The War, And What After?",,Garden City Press,Letchworth,Swarthmore Peace Collection,JX1953.U5.,,,,,
1915,"Hansbrough, Henry Clay, 1848-1933.","Hansbrough, Henry Clay, 1848-1933",War And Woman: An Exposition Of Man's Failure As A Harmonizer.,,Duffield & Co.,New York,Swarthmore Peace Collection,JX1965.H3.,,,,,
[1930?],"Wellock, Wilfred.","Wellock, Wilfred, 1879-1972",War As Viewed By Jesus And The Early Church: A Body Of Evidence / Prepared By Wilfred Wellock.,,No More War Movement,London,Swarthmore Peace Collection,JX1965.5.W4.,,,,,
1929,"Allen, William Charles, 1857-1938.","Allen, William Charles, 1857-1938",War!: Behind The Smoke Screen / By William C. Allen.,,The John C. Winston Co.,"Philadelphia, Chicago",Swarthmore Peace Collection,JX1953.A432.,,,,,
1915,,,"War-chronicle: War Journal, Soldiers' Letters, Pictures Of The War. (issue For February 1915).",,M. Berg,Berlin,Swarthmore Peace Collection,D639.P7 G31.,,,,,
[1928],"Cocks, Frederick Seymour, b. 1882.","Cocks, F. Seymour (Frederick Seymour), 1882-",The War Danger: Startling Revelations Of Present-day Diplomacy / With Maps By Dorothy Woodman.,,No More War Movement,"[London, England]",Swarthmore Peace Collection,D653.C6.,"Inscription: I thought this might interest you - with love, C.F. Urie",,,,
1920,"Bruce, Stewart E.","Bruce, Stewart E.",The War Guilt And Peace Crime Of The Entente Allies.,,F.L. Searl & Co.,New York,Swarthmore Peace Collection,D511.B73.,,,,,
1914,"Asquith, H.H., 1852-1928.","Asquith, H.H. (Herbert Henry), 1852-1928","The War, Its Causes And Its Message: Speeches Delivered By The Prime Minister, August-october, 1914.",,Methuen & Co. ltd.,London,Swarthmore Peace Collection,D517.O8.,,,,,
1914,"Brailsford, Henry Noel, 1873-1958.","Brailsford, Henry Noel, 1873-1958",The War Of Steel And Gold: A Study Of The Armed Peace.,,G. Bell and Sons,London,Swarthmore Peace Collection,D443.B7.,,,,,
1916,"Key, Ellen Karolina Sofia, 1849-1926.","Key, Ellen, 1849-1926.","War, Peace, And The Future: A Consideration Of Nationalism And Internationalism, And Of The Relation Of Women To War / By Ellen Key... Translated By Hildegard Norberg.",,G.P. Putnam's Sons,New York and London,Swarthmore Peace Collection,JX1965.K5.,,,,,
1928,"Unruh, Fritz von, 1885-1970.","Unruh, Fritz von 1885-1970",Way Of Sacrifice / Translated From The German By C.A. Macartney.,,A.A. Knopf,New York,Swarthmore Peace Collection,JX1964.1.U5062.,,,,,
1924,"Filene, E. A., 1860-1937.","Filene, E. A. (Edward Albert), 1860-1937",The Way Out: A Forecast Of Coming Changes In American Business And Industry.,,"Doubleday, Page & Co.","Garden City, N.Y.",Swarthmore Peace Collection,HF5351.F5.,,,,,
1914,"Austrian, Delia.","Austrian, Delia",Ways Of War And Peace.,,Stanhope-Dodge Publishing Co.,"Larchmont, N.Y.",Swarthmore Peace Collection,D640.A8.,"Inscription: To Miss Jane Addams, who is everywhere recognized as one of the world's ablest and noblest women.",,,,
1916,"Jordan, David Starr, 1851-1931.","Jordan, David Starr, 1851-1931",Ways To Lasting Peace.,,The Bobbs-Merill Co.,Indianapolis,Swarthmore Peace Collection,JX1952.J73.,,,,,
[1921],"Wiley, William M.","Wiley, William M.",""west Virginia Coal Fields;": William M. Wiley's Testimony As Taken From Volumes One And Two Of The Official Records Of The "hearings Before The Committee On Education And Labor, U.S. Senate, 67th Congress, 1st Session, Pursuant To Senate Resolution No. 80..."""west Virginia Coal Fields;": William M. Wiley's Testimony As Taken From Volumes One And Two Of The Official Records Of The "hearings Before The Committee On Education And Labor, U.S. Senate, 67th Congress, 1st Session, Pursuant To Senate Resolution No. 80..."""est Virginia Coal Fields;": William M. Wiley's Testimony As Taken From Volumes One And Two Of The Official Records Of The "hearings Before The Committee On Education And Labor, U.S. Senate, 67th Congress, 1st Session, Pursuant To Se""st Virginia Coal Fields;": William M. Wiley's Testimony As Taken From Volumes One And Two Of The Official Records Of The "hearings Before The Committee On Education And Labor, U.S. Senate, 67th Congress, 1s""t Virginia Coal Fields;": William M. Wiley's Testimony As Taken From Volumes One And Two Of The Official Records Of The "hearings Before The Committee On Education And Labor, U.S. S"" Virginia Coal Fields;": William M. Wiley's Testimony As Taken From Volumes One And Two Of The Official Records Of The "hearings Before The Committee On Educ""Virginia Coal Fields;": William M. Wiley's Testimony As Taken From Volumes One And Two Of The Official Records Of The "hearings Before""irginia Coal Fields;": William M. Wiley's Testimony As Taken From Volumes One And Two Of The Official Records Of""rginia Coal Fields;": William M. Wiley's Testimony As Taken From Volumes One And Two Of The""ginia Coal Fields;": William M. Wiley's Testimony As Taken From Volumes""inia Coal Fields;": William M. Wiley's Testimony As ""nia Coal Fields;": William M. Wile""ia Coal Fields;":""a",,Kanawha Coal Operators' Assoc.,"Charleston, W. Va.",Swarthmore Peace Collection,HD6350.M6.,,,,,
1919,"Vanderlip, Frank A., 1864-1937.","Vanderlip, Frank Arthur, 1864-1937",What Happened To Europe.,,The Macmillan Co.,New York,Swarthmore Peace Collection,HC57.V3.,,,,,
1922,"Vanderlip, Frank A., 1864-1937.","Vanderlip, Frank Arthur, 1864-1937",What Next In Europe?,,"Harcourt, Brace and Co.",New York,Swarthmore Peace Collection,HC57.V32.,,,,,
1928,"Norris, Kathleen Thompson, 1880-1966.","Norris, Kathleen Thompson, 1880-1966.",What Price Peace?: A Handbook Of Peace For American Women.,,"Doubleday, Doran & Co.","Garden City, N.Y.",Swarthmore Peace Collection,JX1965.N6.,,,,,
1919,"Baker, Ray Stannard, 1870-1946.","Baker, Ray Stannard, 1870-1946",What Wilson Did At Paris.,,"Doubleday, Page & Company","Garden City, New York",Swarthmore Peace Collection,D644.B25.,Inscription: To Jane Addams with the highest regard of Ray Stannard Baker.,,,,
1931,"Chilton, Carroll Brent.","Chilton, Carroll Brent.",Who Won The San Francisco Earthquake?: Uncle Sam's Plea For Humanity At The Geneva Disarmament Conference.,,s.n.],[S.l.,Swarthmore Peace Collection,JX1974.C5.,Inscription: Jane Addams in admiration by the author Carroll Brent Chilton Dec 24 1937 [?].,,,,
1914,,,"Why We Are At War: Great Britain's Case / By Members Of The Oxford Faculty Of Modern History; With An Appendix Of Original Documents, Including The Authorized English Translation Of The White Book Issued By The German Government ; Containing The Russian Orange Book And Extracts From The Belgian Grey Book.",,The Clarendon Press,Oxford,Swarthmore Peace Collection,D639.P7 G72.,,,,,
1924,"Villard, Fanny Garrison.","Villard, Fanny Garrison 1844-1932","William Lloyd Garrison On Non-resistance: Together With A Personal Sketch By His Daughter, Fanny Garrison Villard, And A Tribute By Leo Tolstoi.",,The Nation Press Printing Co.,New York,Swarthmore Peace Collection,JX1962.G2.,"Inscription: For Jane Addams, with the love of Fanny Garrison Villard. Thorwood, July 1924.",,,,
1921,"Stephens, Daniel Owen, 1893-1937.","Stephens, Daniel Owen, 1893-1937.",With Quakers In France.,,C.W. Daniel,London,Swarthmore Peace Collection,D639.F9 S7.,Inscription: Lydia Avery Coverly Ward [?],,,,
1923,"Northcroft, Dorothea Mary.","Northcroft, Dorothea Mary",Women At Work In The League Of Nations / By D.M. Northcroft... With Preface By Mrs. Corbett Ashby.,,Page,London,Swarthmore Peace Collection,JX1975.N7.,,,,,
nd,"Bradfield, B.","Bradfield, B.",The Work Of The League At A Glance.,,Sadag],[Geneva,Swarthmore Peace Collection,JX1975.9.B7.,,,,,
[1920],"Buxton, Charles Roden, 1875-1942.","Buxton, Charles Roden, 1875-1942",The World After The War / By Charles Roden And Dorothy Frances Buxton.,,Allen,London,Swarthmore Peace Collection,D653.B9.,,,,,
1917,"Brandes, Georg Morris Cohen, 1842-1927.","Brandes, Georg, 1842-1927.",The World At War / By Georg Brandes; Translated By Catherine D. Groth.,,Macmillan,New York,Swarthmore Peace Collection,D523.B65.,Inscription: Jane Addams from Miss Lamolier [?],,,,
1926,"Bell, Edward Price, 1869-1943.","Bell, Edward Price, 1869-1943","World Chancelleries: Sentiments, Ideas, And Arguments Expressed By Famous Occidental And Oriental Statesmen Looking To The Consolidation Of The Psychological Bases Of International Peace / With An Introduction By Calvin Coolidge.",,The Chicago Daily News,Chicago,Swarthmore Peace Collection,D443.B4.,,,,,
1928,"Hudson, Manley O., 1886-1960.","Hudson, Manley O. (Manley Ottmer), 1886-1960.","The World Court, 1922-1928: The Yearbook Of The Permanent Court Of International Justice / By Manley O. Hudson... Accompanied By Essential Documents Concerning The Court And American Adhesion Thereto.",,[World Peace Foundation],Boston,Swarthmore Peace Collection,JX1971.5.H88.,,,,,
1915,"Shumaker, Elmer Ellsworth.","Shumaker, Elmer Ellsworth.",World Crisis And The Way To Peace.,,G. Putnam's sons,New York and London,Swarthmore Peace Collection,D524.S5.,,,,,
1905,"Bridgman, Raymond L., 1848-1925.","Bridgman, Raymond L. (Raymond Landon), 1848-1925",World Organization.,,"For the International Union, Ginn & Co.",Boston,Swarthmore Peace Collection,JC361.B8.,,,,,
1918,"McLeod, T.B.","McLeod, T.B.","The World War And The Road To Peace / By T.B. Mcleod, With An Introductory Note By S. Parkes Cadman.",,The Macmillan Co.,New York,Swarthmore Peace Collection,D613.M3.,,,,,
1913/1914,Carnegie Endowment for International Peace.,Carnegie Endowment for International Peace.,Year Book - Carnegie Endowment For International Peace.,,Carnegie Endowment for International Peace,"Washington, D.C.",Swarthmore Peace Collection,JX1906.A4.,,,,,
1925,"Wells, H.G., 1866-1946.","Wells, H.G. (Herbert George), 1866-1946",A Year Of Prophesying.,,The Macmillan Co.,New York,Swarthmore Peace Collection,D415.W4 1925.,,,,,
,,,Yearbook Of The League Of Nations [8th] Record Of 1927.,,,"Boston, 1928.",Swarthmore Peace Collection,JX1975.A1 Y4 1927.,,,,,
1929,"Matthews, Joseph Brown.","Matthews, Joseph Brown 1801-","Youth Looks At World Peace: A Story Of The First World Youth Peace Congress (holland, 1928).",,"American Committee, World Youth Peace Congress","New York, N.Y.",Swarthmore Peace Collection,JX1931 1928d.,"Inscription: To one of the big pioneers of women's work for peace. To Jane Addams, with love and reverence from on who will do her utmost to follow her steps in the peace-work of youth. Marguerite au Goeyen [?] Prague August 1929.",,,,
1930,"Wilson, Francesca, 1888-1981.","Wilson, Francesca, 1888-1981",Yugoslavian Macedonia / With Foreword By G.P. Gooch.,,Women's International League,London,Swarthmore Peace Collection,DR701.M4 W7.,,,,,
